Name,RMSD,TM_Score
length_100_3_38,0.5180251739552664,0.9760235263938318
length_100_9_21,0.644739437792872,0.962520982387906
length_100_7_69,0.6446777539750359,0.960704190906887
length_100_0_83,0.7701467522392602,0.9492107379348572
length_100_6_51,0.7818432222828132,0.9473571627683371
length_100_5_35,0.7918797796752797,0.9453715180275666
length_100_4_69,0.7807920247391231,0.9439512838950468
length_100_1_63,0.8448519497145587,0.9379594058234084
length_100_2_55,1.0410925297460825,0.9140087408485884
length_100_8_82,2.260269667384278,0.8619156030401204
length_105_6_1,0.4178002470811274,0.9851986335402276
length_105_7_43,0.4320956767965957,0.9819554124915296
length_105_0_35,0.462539319058243,0.9814775833798268
length_105_1_53,0.5291604574034117,0.9755769651106744
length_105_9_34,0.5582225106065237,0.9748715028617968
length_105_3_63,0.6055250183865749,0.9680276262726384
length_105_5_72,0.6333373070840268,0.9668301650833252
length_105_4_56,0.6495056981791135,0.962073927523752
length_105_2_48,0.7372337853694915,0.9543682307570024
length_105_8_52,0.7846578670371335,0.9464812626374892
length_110_2_89,0.3722161515570036,0.9887202634044978
length_110_7_14,0.3761487758713575,0.9886980151191216
length_110_9_26,0.403826026229607,0.9861362497451408
length_110_4_89,0.4337012271022351,0.9844819394083693
length_110_8_100,0.4253785864198837,0.984387669792896
length_110_0_53,0.451982469878575,0.9824888640350014
length_110_6_86,0.454612405018932,0.9823432636569625
length_110_3_9,0.4685725739700753,0.9819508938999106
length_110_1_84,0.646842224961324,0.9680459404187104
length_110_5_18,1.033978208020204,0.9217425314599188
length_115_9_39,0.7306426219800701,0.9592713333711534
length_115_6_43,0.9959447696257704,0.9378439227599094
length_115_3_27,0.972894749543594,0.9338929986869532
length_115_2_39,1.0990417513527495,0.9330384755110476
length_115_0_27,1.085138917945424,0.9320804525275698
length_115_1_27,1.101745700832346,0.9320003569205668
length_115_7_39,1.120788520788068,0.9319872007816472
length_115_4_39,1.1432081701916734,0.9308292147321066
length_115_8_73,1.1711692416074435,0.9304751532827096
length_115_5_19,1.1018989959892875,0.9290582042689696
length_120_9_12,0.4328782279188433,0.9865514418272776
length_120_8_43,0.4371681255557048,0.9845427054262832
length_120_7_88,0.5718174850766361,0.973811081456213
length_120_5_79,0.6474752310946857,0.969364602753368
length_120_2_84,0.6730232355765118,0.9586473447520608
length_120_1_81,0.8023346461643831,0.9525974125067777
length_120_3_44,0.8547421477244678,0.9491133527583512
length_120_4_32,0.8821330224386819,0.947146200039232
length_120_6_89,1.037862803934985,0.9264296222332128
length_120_0_82,2.798059104561443,0.7834624513626326
length_125_9_67,0.5431375672020269,0.9789430734969696
